2.719	0.0048
2.757	0.0092
2.795	0.0066
2.833	0.0088
2.871	0.0114
2.909	0.0132
2.947	0.0158
2.985	0.0202
3.023	0.017
3.061	0.0202
3.099	0.0232
3.137	0.0244
3.175	0.0268
3.213	0.0244
3.251	0.0296
3.289	0.031
3.327	0.0354
3.365	0.0342
3.403	0.0388
3.441	0.0376
3.479	0.0388
3.517	0.0404
3.555	0.0428
3.593	0.0376
3.631	0.0382
3.669	0.0306
3.707	0.0302
3.745	0.0304
3.783	0.0306
3.821	0.0302
3.859	0.0248
3.897	0.0174
3.935	0.0218
3.973	0.0172
4.011	0.019
4.049	0.016
4.087	0.013
4.125	0.0124
4.163	0.0106
4.201	0.0082
4.239	0.0058
4.277	0.006
4.315	0.0046
4.353	0.004
4.391	0.0038
4.429	0.0032
4.467	0.0016
4.505	0.0008
4.543	0.0018
4.581	0.001
