2.719	0.0062
2.757	0.006
2.795	0.0076
2.833	0.008
2.871	0.0126
2.909	0.013
2.947	0.0136
2.985	0.0176
3.023	0.0184
3.061	0.0218
3.099	0.025
3.137	0.0224
3.175	0.0284
3.213	0.0302
3.251	0.0344
3.289	0.036
3.327	0.0326
3.365	0.0362
3.403	0.0332
3.441	0.0412
3.479	0.0386
3.517	0.0364
3.555	0.0416
3.593	0.0356
3.631	0.0384
3.669	0.0334
3.707	0.0304
3.745	0.0306
3.783	0.031
3.821	0.025
3.859	0.0244
3.897	0.0204
3.935	0.0208
3.973	0.02
4.011	0.0174
4.049	0.0144
4.087	0.0156
4.125	0.0104
4.163	0.0088
4.201	0.006
4.239	0.007
4.277	0.0058
4.315	0.0052
4.353	0.003
4.391	0.0048
4.429	0.0034
4.467	0.002
4.505	0.0006
4.543	0.001
4.581	0.0004
