2.719	0.0076
2.757	0.0066
2.795	0.0092
2.833	0.011
2.871	0.0112
2.909	0.0134
2.947	0.0138
2.985	0.0152
3.023	0.0186
3.061	0.018
3.099	0.0238
3.137	0.027
3.175	0.0282
3.213	0.0294
3.251	0.0292
3.289	0.0306
3.327	0.0348
3.365	0.032
3.403	0.0356
3.441	0.0408
3.479	0.039
3.517	0.0348
3.555	0.0324
3.593	0.0346
3.631	0.0346
3.669	0.0392
3.707	0.0356
3.745	0.033
3.783	0.0302
3.821	0.0282
3.859	0.0238
3.897	0.0206
3.935	0.0246
3.973	0.0216
4.011	0.0182
4.049	0.013
4.087	0.0134
4.125	0.0116
4.163	0.01
4.201	0.0072
4.239	0.0074
4.277	0.0074
4.315	0.004
4.353	0.0048
4.391	0.0036
4.429	0.0016
4.467	0.0014
4.505	0.001
4.543	0.0004
4.581	0.0006
